Country,Continent,Beverage_Types,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Brazil,South America,Beer,4.64,4.45,4.61,4.49,4.42,4.15,3.84,3.74,3.56,3.36,3.22,3.18,3.32,3.34,3.33
Brazil,South America,Wine,0.27,0.27,0.33,0.42,0.4,0.39,0.37,0.38,0.41,0.5,0.4,0.4,0.3,0.29,0.31
Brazil,South America,Spirits,2.39,2.49,2.57,2.63,2.66,2.76,2.96,3.04,3.09,3.08,3.19,3.36,3.37,3.49,3.61
Brazil,South America,Other alcoholic beverages,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.01,0.01,0.01,0.01
Brunei Darussalam,Asia,All types,,,,0.97,0.88,0.25,0.67,0.85,0.67,0.16,0.11,0.12,0.13,0.47,0.37
Brunei Darussalam,Asia,Beer,,,,0.85,0.82,0.18,0.59,0.76,0.5,0.09,0.08,0.09,0.09,0.2,0.19
Brunei Darussalam,Asia,Wine,,,,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.04,0.03
Brunei Darussalam,Asia,Spirits,,,,0.05,0.03,0.05,0.05,0.06,0.11,0.05,0.01,0.02,0.03,0.23,0.15
Brunei Darussalam,Asia,Other alcoholic beverages,,,,0.02,0.01,0.01,0.01,0.01,0.03,0,0,0,0,0,0.4
Bulgaria,Europe,All types,12.03,12.06,10.99,10.67,10.8,10.93,10.98,10.89,10.39,10.48,10.96,11.19,10.2,10.72,9.69
Bulgaria,Europe,Beer,4.31,4.27,4.3,4.09,4.01,4.03,4.41,4.41,3.96,3.56,3.52,3.3,2.98,3.22,2.99
Bulgaria,Europe,Wine,2.87,2.86,1.65,1.37,1.73,2.02,1.73,1.7,1.58,1.95,2.09,2.93,2.34,2.73,2.05
Bulgaria,Europe,Spirits,4.78,4.88,4.99,5.16,5.02,4.84,4.8,4.73,4.8,4.93,5.29,4.96,4.88,4.77,4.65
Bulgaria,Europe,Other alcoholic beverages,0.08,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0,0,0,0
Burkina Faso,Africa,All types,,4.64,4.75,4.51,4.55,4.55,4.5,4.58,4.73,4.88,4.54,4.58,4.53,4.56,3.71
Burkina Faso,Africa,Beer,,0.67,0.63,0.53,0.46,0.46,0.46,0.45,0.44,0.44,0.42,0.41,0.41,0.39,0.4
Burkina Faso,Africa,Wine,,0.1,0.18,0.16,0.12,0.08,0.07,0.07,0.09,0.09,0.1,0.07,0.08,0.08,0.04
Burkina Faso,Africa,Spirits,,0.24,0.2,0.13,0.12,0.14,0.13,0.2,0.5,0.43,0.17,0.21,0.27,0.23,0.29
Burkina Faso,Africa,Other alcoholic beverages,,3.63,3.73,3.68,3.84,3.86,3.84,3.85,3.7,3.92,3.85,3.89,3.77,3.86,2.99
Burundi,Africa,All types,,,,4.16,4.16,4.05,4.33,4.54,4.5,5.54,5.72,5.84,5.98,6.09,6.61
Burundi,Africa,Beer,,,,1.63,1.59,1.37,1.4,1.42,1.4,1.19,1.19,1.13,1.02,1,1.46
Burundi,Africa,Wine,,,,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01
Burundi,Africa,Spirits,,,,0,0,0,0,0.01,0.01,0,0,0,0,0,0
Burundi,Africa,Other alcoholic beverages,,,,2.51,2.56,2.68,2.93,3.11,3.1,4.34,4.51,4.7,4.95,5.07,5.14
Côte d'Ivoire,Africa,All types,,3.15,3.24,3.13,3.15,2.92,2.69,2.58,2.65,3.11,3.08,3.12,3.13,3.15,3.45
Côte d'Ivoire,Africa,Beer,,0.82,0.81,0.74,0.71,0.63,0.66,0.68,0.62,0.66,0.63,0.63,0.51,0.54,0.57
Côte d'Ivoire,Africa,Wine,,0.24,0.27,0.27,0.26,0.25,0.12,0.14,0.2,0.24,0.33,0.33,0.34,0.29,0.26
Côte d'Ivoire,Africa,Spirits,,0.01,0.05,0.03,0.02,0.02,0.02,0.01,0.02,0.05,0.04,0.04,0.04,0.04,0.04
Côte d'Ivoire,Africa,Other alcoholic beverages,,2.08,2.11,2.1,2.16,2.03,1.89,1.75,1.81,2.17,2.08,2.12,2.23,2.28,2.58
Cabo Verde,Africa,All types,,,,5.07,4.75,4.45,4.16,5.28,4.25,4.26,4.19,4.16,3.82,3.81,3.49
Cabo Verde,Africa,Beer,,,,2.82,2.51,2.2,1.97,2.03,1.92,2.19,1.9,2.32,2.08,2.12,2.09
Cabo Verde,Africa,Wine,,,,1.55,1.62,1.76,1.89,2.52,1.87,1.93,1.78,1.39,1.47,1.23,0.95
Cabo Verde,Africa,Spirits,,,,0.7,0.61,0.48,0.31,0.73,0.46,0.14,0.51,0.44,0.26,0.46,0.45
Cabo Verde,Africa,Other alcoholic beverages,,,,0,0,0,0,0,0,0,0,0.01,0.01,0,0
Cambodia,Asia,All types,,,,2.12,2.2,2.13,2.24,2.08,2.03,1.99,1.38,1.44,1.43,1.71,1.51
Cambodia,Asia,Beer,,,,1.35,0.91,0.94,0.95,0.89,0.81,0.76,0.28,0.28,0.25,0.26,0.29
Cambodia,Asia,Wine,,,,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01
Cambodia,Asia,Spirits,,,,0.75,1.27,1.18,1.27,1.18,1.21,1.21,1.09,1.16,1.17,1.44,1.21
Cambodia,Asia,Other alcoholic beverages,,,,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Africa,All types,,,,6.19,6.15,5.89,5.9,5.44,5.22,5.03,4.71,4.64,4.58,4.43,3.91
Cameroon,Africa,Beer,,,,2.49,2.53,2.71,2.29,2.11,2.08,2.1,2.41,2.36,2.35,2.27,2.07
Cameroon,Africa,Wine,,,,0.11,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.07
Cameroon,Africa,Spirits,,,,0,0,0.01,0.06,0.06,0.05,0,0,0,0,0,0
Cameroon,Africa,Other alcoholic beverages,,,,3.59,3.53,3.1,3.47,3.19,3.02,2.85,2.22,2.2,2.15,2.07,1.77
Canada,North America,All types,8.1,8.2,8.3,8.2,8.4,8.4,8.3,8.3,8.2,8,7.8,7.7,7.7,7.6,7.6
Canada,North America,Beer,3.8,3.9,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3
Canada,North America,Wine,2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3
Canada,North America,Spirits,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1
Canada,North America,Other alcoholic beverages,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0
Central African Republic,Africa,All types,,,,1.66,1.67,1.56,1.52,1.5,1.54,1.5,1.5,1.49,1.47,1.52,1.51
Central African Republic,Africa,Beer,,,,0.33,0.29,0.3,0.32,0.28,0.27,0.22,0.26,0.28,0.3,0.38,0.42
Central African Republic,Africa,Wine,,,,0.02,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.02,0.02,0.03,0.03
Central African Republic,Africa,Spirits,,,,0.02,0.04,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.02
Central African Republic,Africa,Other alcoholic beverages,,,,1.29,1.33,1.21,1.17,1.17,1.15,1.23,1.19,1.15,1.12,1.08,1.04
Chad,Africa,All types,,0.64,0.62,0.56,0.5,0.47,0.45,0.42,0.41,0.42,0.34,0.42,0.36,0.3,0.25
Chad,Africa,Beer,,0.43,0.38,0.38,0.32,0.31,0.3,0.27,0.23,0.24,0.23,0.25,0.22,0.18,0.17
Chad,Africa,Wine,,0.05,0.05,0.02,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0
Chad,Africa,Spirits,,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0,0
Chad,Africa,Other alcoholic beverages,,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.15,0.15,0.08,0.14,0.1,0.11,0.08
Chile,Africa,All types,7.16,7.2,6.76,7.26,7.93,7.67,7.31,7.39,7.33,7.57,6.32,6.37,6.06,6.1,6.24
Chile,South America,Beer,2.65,2.6,2.48,2.46,2.37,2.32,2.43,2.34,2.26,2.01,1.83,1.8,1.76,1.78,1.79
Chile,South America,Wine,2.65,2.65,2.22,2.67,3.23,2.85,2.17,2.83,2.22,2.59,2.54,2.6,2.39,2.38,2.45
Chile,South America,Spirits,1.63,1.71,1.83,1.91,2.33,2.5,2.71,2.22,2.85,2.97,1.95,1.96,1.9,1.91,1.97
Chile,South America,Other alcoholic beverages,0.24,0.24,0.23,0.22,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0
China,Asia,All types,5.78,5.79,5.74,5.63,5.75,4.88,4.27,3.88,3.28,2.92,3.04,2.96,2.91,2.84,3.06
China,Asia,Beer,1.88,1.89,1.82,1.76,1.6,1.53,1.55,1.48,1.34,1.2,1.11,1.01,0.97,0.93,0.93
China,Asia,Wine,0.17,0.19,0.22,0.22,0.17,0.1,0.08,0.08,0.06,0.05,0.18,0.19,0.14,0.14,0.14
China,Asia,Spirits,3.72,3.71,3.7,3.65,3.98,3.25,2.64,2.31,1.88,1.67,1.75,1.77,1.8,1.77,1.99
China,Asia,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
